Table,IsTableRepeat,IsItemRepeat,Id,Name,Desc
0,False,False,0,""" ""","""０１２３４５６７８９1011121314151617181920212223242526"""
0,False,False,1,"""搜查手冊""","""印有警察徽章的黑色皮革手冊，用於證明警察的身份。\n可以查詢搜查現況記錄，以及各種其他情報。"""
0,False,False,2,"""料理手冊""","""記錄料理食譜的手冊。\n只要有食材的話，隨時都可以製作料理。"""
0,False,False,3,"""釣魚手冊""","""記錄釣魚情報的手冊。"""
0,False,False,4,"""戰鬥手冊""","""記錄所遇敵人情報的手冊。"""
0,False,False,5,"""自治州地圖""","""克洛斯貝爾自治州的地圖。\n可以用來確認現在所處的位置。"""
0,False,False,6,"""克洛斯貝爾市地圖""","""網羅了克洛斯貝爾市的全體區域，為觀光客製作的地圖。\n是在市內散步時值得信賴的好幫手。"""
0,False,False,9,"""練習用武器""","""雖然攻擊力無法期待，但有總比沒有好。"""
0,False,True,0,,
0,False,True,0,,
0,False,False,10,"""戰術書・星""","""記載著強力組合技的謎之古代文書。\n艾莉和蘭迪可習得『暴動星雨』。"""
0,False,False,11,"""戰術書・月""","""記載著強力組合技的謎之古代文書。\n緹歐和艾莉可習得『酷寒煉獄』。"""
0,False,False,12,"""戰術書・太陽""","""記載著強力組合技的謎之古代文書。\n蘭迪和緹歐可習得『旋鉤風暴』。"""
0,False,False,50,"""新手竿""","""簡單易用的通用型釣竿，針對新手做了調整。\n有了它就可以在淡水區盡情享受釣魚的樂趣。"""
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,False,51,"""羽毛釣竿""","""即使是小型魚類也不會漏掉的羽量級釣竿。\n是垂釣小型和中型魚類時的最佳選擇。"""
0,False,False,52,"""竹竿""","""在尖端直接捆綁魚線的簡潔型釣竿。\n也是可釣起大型魚類的可靠釣具。"""
0,False,False,53,"""剛竿海平線""","""搭配鮮活釣餌，獵捕大型魚類的專用釣竿。\n無論面對多麼巨大的魚，力量也不會輸給對手。"""
0,False,False,55,"""水中魔法師""","""奇蹟般的釣竿，擁有它的人將會變成水中的魔法師。\n即使是兇猛的肉食性魚類也可以當作釣餌。"""
0,False,True,0,,
0,False,False,60,"""銀胸針""","""【「中毒」無效化】\n　經過女神愛德斯的神聖之力淨化過的銀色胸針。"""
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,False,61,"""珊瑚戒指""","""【「封技」無效化】\n　使用了深海珍稀珊瑚的戒指。"""
0,False,False,62,"""大理石戒指""","""【「封魔」無效化】\n　華美艷麗的大理石戒指。"""
0,False,False,63,"""夜光眼鏡""","""【「黑暗」無效化】\n　發出淡淡光輝的半月形眼鏡。"""
0,False,False,64,"""涼爽項鍊""","""【「炎傷」無效化】\n　鑲上了水之耀晶石的涼爽首飾。"""
0,False,False,65,"""打火機""","""【「凍結」無效化】\n　登山者不可或缺的防寒物品。"""
0,False,False,66,"""幻彩圍巾""","""【「石化」無效化】\n　用閃耀著七色光芒的神奇毛線編織的圍巾。"""
